,age,age_bin,job,marital,education,points,y
0,58,"(54.0, 95.0]",management,married,tertiary,7,no
1,44,"(41.0, 47.0]",technician,single,secondary,4,no
2,33,"(30.0, 33.0]",entrepreneur,married,secondary,2,no
3,47,"(41.0, 47.0]",blue-collar,married,unknown,6,no
5,35,"(33.0, 37.0]",management,married,tertiary,4,no
6,28,"(17.999, 30.0]",management,single,tertiary,4,no
7,42,"(41.0, 47.0]",entrepreneur,divorced,tertiary,2,no
8,58,"(54.0, 95.0]",retired,married,primary,4,no
9,43,"(41.0, 47.0]",technician,single,secondary,5,no
10,41,"(37.0, 41.0]",admin.,divorced,secondary,4,no
11,29,"(17.999, 30.0]",admin.,single,secondary,5,no
12,53,"(47.0, 54.0]",technician,married,secondary,3,no
13,58,"(54.0, 95.0]",technician,married,unknown,4,no
14,57,"(54.0, 95.0]",services,married,secondary,4,no
15,51,"(47.0, 54.0]",retired,married,primary,4,no
16,45,"(41.0, 47.0]",admin.,single,unknown,3,no
17,57,"(54.0, 95.0]",blue-collar,married,primary,4,no
18,60,"(54.0, 95.0]",retired,married,primary,4,no
19,33,"(30.0, 33.0]",services,married,secondary,3,no
20,28,"(17.999, 30.0]",blue-collar,married,secondary,5,no
21,56,"(54.0, 95.0]",management,married,tertiary,6,no
22,32,"(30.0, 33.0]",blue-collar,single,primary,3,no
23,25,"(17.999, 30.0]",services,married,secondary,4,no
24,40,"(37.0, 41.0]",retired,married,primary,2,no
25,44,"(41.0, 47.0]",admin.,married,secondary,3,no
26,39,"(37.0, 41.0]",management,single,tertiary,4,no
27,52,"(47.0, 54.0]",entrepreneur,married,secondary,3,no
28,46,"(41.0, 47.0]",management,single,secondary,3,no
29,36,"(33.0, 37.0]",technician,single,secondary,3,no
30,57,"(54.0, 95.0]",technician,married,secondary,6,no
31,49,"(47.0, 54.0]",management,married,tertiary,5,no
32,60,"(54.0, 95.0]",admin.,married,secondary,3,no
33,59,"(54.0, 95.0]",blue-collar,married,secondary,3,no
34,51,"(47.0, 54.0]",management,married,tertiary,7,no
35,57,"(54.0, 95.0]",technician,divorced,secondary,4,no
36,25,"(17.999, 30.0]",blue-collar,married,secondary,3,no
37,53,"(47.0, 54.0]",technician,married,secondary,4,no
38,36,"(33.0, 37.0]",admin.,divorced,secondary,5,no
